Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Fare_log
0,3,1.0,22.0,1,0,7.25,2.0,1.9810014688665833
1,1,0.0,38.0,1,0,71.2833,0.0,4.26666207838721
1,3,0.0,26.0,0,0,7.925,2.0,2.0700223197633445
1,1,0.0,35.0,1,0,53.1,2.0,3.9721769282478934
0,3,1.0,35.0,0,0,8.05,2.0,2.0856720914304723
0,1,1.0,54.0,0,0,51.8625,2.0,3.948595985658986
0,3,1.0,2.0,3,1,21.075,2.0,3.048087503887919
1,3,0.0,27.0,0,2,11.1333,2.0,2.409940617298087
1,2,0.0,14.0,1,0,30.0708,0.0,3.4035546012358333
1,3,0.0,4.0,1,1,16.7,2.0,2.8154087194227095
1,1,0.0,58.0,0,0,26.55,2.0,3.279029747687948
0,3,1.0,20.0,0,0,8.05,2.0,2.0856720914304723
0,3,1.0,39.0,1,5,31.275,2.0,3.442819056352975
0,3,0.0,14.0,0,0,7.8542,2.0,2.061048420562944
1,2,0.0,55.0,0,0,16.0,2.0,2.772588722239781
0,3,1.0,2.0,4,1,29.125,1.0,3.371596911885865
0,3,0.0,31.0,1,0,18.0,2.0,2.8903717578961645
0,2,1.0,35.0,0,0,26.0,2.0,3.258096538021482
1,2,1.0,34.0,0,0,13.0,2.0,2.5649493574615367
1,3,0.0,15.0,0,0,8.0292,1.0,2.0830848965946345
1,1,1.0,28.0,0,0,35.5,2.0,3.56953269648137
0,3,0.0,8.0,3,1,21.075,2.0,3.048087503887919
1,3,0.0,38.0,1,5,31.3875,2.0,3.4464097244837033
0,1,1.0,19.0,3,2,263.0,2.0,5.572154032177765
0,1,1.0,40.0,0,0,27.7208,0.0,3.32218303393412
0,2,1.0,66.0,0,0,10.5,2.0,2.3513752571634776
0,1,1.0,28.0,1,0,82.1708,0.0,4.408800007809053
0,1,1.0,42.0,1,0,52.0,2.0,3.9512437185814275
0,3,1.0,21.0,0,0,8.05,2.0,2.0856720914304723
0,3,0.0,18.0,2,0,18.0,2.0,2.8903717578961645
1,3,0.0,14.0,1,0,11.2417,0.0,2.419630078580691
0,3,0.0,40.0,1,0,9.475,2.0,2.24865675096849
0,2,0.0,27.0,1,0,21.0,2.0,3.044522437723423
1,2,0.0,3.0,1,2,41.5792,0.0,3.7276000422255353
1,3,0.0,19.0,0,0,7.8792,1.0,2.0642263758733557
0,3,0.0,18.0,1,0,17.8,2.0,2.8791984572980396
0,3,1.0,7.0,4,1,39.6875,2.0,3.6810362766529106
0,3,1.0,21.0,0,0,7.8,2.0,2.0541237336955462
1,1,0.0,49.0,1,0,76.7292,0.0,4.340282339965535
1,2,0.0,29.0,1,0,26.0,2.0,3.258096538021482
0,1,1.0,65.0,0,1,61.9792,0.0,4.126798844886821
1,2,0.0,21.0,0,0,10.5,2.0,2.3513752571634776
0,3,1.0,28.5,0,0,7.2292,0.0,1.9781283799793465
1,2,0.0,5.0,1,2,27.75,2.0,3.3232358401924436
0,3,1.0,11.0,5,2,46.9,2.0,3.8480176754522337
0,3,1.0,22.0,0,0,7.2292,0.0,1.9781283799793465
0,1,1.0,45.0,1,0,83.475,2.0,4.424547185829718
0,3,1.0,4.0,3,2,27.9,2.0,3.32862668882732
1,2,0.0,29.0,0,0,10.5,2.0,2.3513752571634776
0,3,1.0,19.0,0,0,8.1583,2.0,2.0990358139382788
1,3,0.0,17.0,4,2,7.925,2.0,2.0700223197633445
0,3,1.0,26.0,2,0,8.6625,2.0,2.1590033645160216
0,2,1.0,32.0,0,0,10.5,2.0,2.3513752571634776
0,3,0.0,16.0,5,2,46.9,2.0,3.8480176754522337
0,2,1.0,21.0,0,0,73.5,2.0,4.297285406218791
0,3,1.0,26.0,1,0,14.4542,0.0,2.6709850297651974
1,3,1.0,32.0,0,0,56.4958,2.0,4.034166299106131
0,3,1.0,25.0,0,0,7.65,2.0,2.0347056478384444
1,2,1.0,0.83,0,2,29.0,2.0,3.367295829986474
1,3,0.0,30.0,0,0,12.475,2.0,2.5237266416375825
0,3,1.0,22.0,0,0,9.0,2.0,2.1972245773362196
1,3,1.0,29.0,0,0,9.5,2.0,2.2512917986064953
0,1,1.0,28.0,0,0,47.1,2.0,3.8522730010223722
1,2,0.0,17.0,0,0,10.5,2.0,2.3513752571634776
1,3,0.0,33.0,3,0,15.85,2.0,2.7631695003232895
0,3,1.0,16.0,1,3,34.375,2.0,3.5373295559867355
1,1,0.0,23.0,3,2,263.0,2.0,5.572154032177765
0,3,1.0,24.0,0,0,8.05,2.0,2.0856720914304723
0,3,1.0,29.0,0,0,8.05,2.0,2.0856720914304723
0,3,1.0,20.0,0,0,7.8542,2.0,2.061048420562944
0,1,1.0,46.0,1,0,61.175,2.0,4.113738609328736
0,3,1.0,26.0,1,2,20.575,2.0,3.0240767465631335
0,3,1.0,59.0,0,0,7.25,2.0,1.9810014688665833
0,1,1.0,71.0,0,0,34.6542,0.0,3.545418930411529
1,1,1.0,23.0,0,1,63.3583,0.0,4.148805916338137
1,2,0.0,34.0,0,1,23.0,2.0,3.1354942159291497
0,2,1.0,34.0,1,0,26.0,2.0,3.258096538021482
0,3,0.0,28.0,0,0,7.8958,2.0,2.0663309725297405
0,1,1.0,21.0,0,1,77.2875,2.0,4.347532234884687
0,3,1.0,33.0,0,0,8.6542,2.0,2.158044752235899
0,3,1.0,37.0,2,0,7.925,2.0,2.0700223197633445
0,3,1.0,28.0,0,0,7.8958,2.0,2.0663309725297405
1,3,0.0,21.0,0,0,7.65,2.0,2.0347056478384444
0,3,1.0,38.0,0,0,7.8958,2.0,2.0663309725297405
0,1,1.0,47.0,0,0,52.0,2.0,3.9512437185814275
0,3,0.0,14.5,1,0,14.4542,0.0,2.6709850297651974
0,3,1.0,22.0,0,0,8.05,2.0,2.0856720914304723
0,3,0.0,20.0,1,0,9.825,2.0,2.284930157755325
0,3,0.0,17.0,0,0,14.4583,0.0,2.671268644120752
0,3,1.0,21.0,0,0,7.925,2.0,2.0700223197633445
0,3,1.0,70.5,0,0,7.75,1.0,2.0476928433652555
0,2,1.0,29.0,1,0,21.0,2.0,3.044522437723423
0,1,1.0,24.0,0,1,247.5208,0.0,5.5114946188815885
0,3,0.0,2.0,4,2,31.275,2.0,3.442819056352975
0,2,1.0,21.0,2,0,73.5,2.0,4.297285406218791
0,2,1.0,32.5,1,0,30.0708,0.0,3.4035546012358333
1,2,0.0,32.5,0,0,13.0,2.0,2.5649493574615367
0,1,1.0,54.0,0,1,77.2875,2.0,4.347532234884687
1,3,1.0,12.0,1,0,11.2417,0.0,2.419630078580691
1,3,1.0,24.0,0,0,7.1417,2.0,1.9659508432494155
0,3,1.0,45.0,0,0,6.975,2.0,1.9423323277074294
0,3,1.0,33.0,0,0,7.8958,0.0,2.0663309725297405
0,3,1.0,20.0,0,0,7.05,2.0,1.9530276168241774
0,3,0.0,47.0,1,0,14.5,2.0,2.6741486494265287
1,2,0.0,29.0,1,0,26.0,2.0,3.258096538021482
0,2,1.0,25.0,0,0,13.0,2.0,2.5649493574615367
0,2,1.0,23.0,0,0,15.0458,0.0,2.711098882480229
1,1,0.0,19.0,0,2,26.2833,2.0,3.2689337565093157
0,1,1.0,37.0,1,0,53.1,2.0,3.9721769282478934
0,3,1.0,16.0,0,0,9.2167,2.0,2.221017055930222
0,1,1.0,24.0,0,0,79.2,0.0,4.37197629882038
1,3,0.0,22.0,0,0,7.75,2.0,2.0476928433652555
1,3,0.0,24.0,1,0,15.85,2.0,2.7631695003232895
0,3,1.0,19.0,0,0,6.75,1.0,1.9095425048844386
0,2,1.0,18.0,0,0,11.5,2.0,2.4423470353692043
0,2,1.0,19.0,1,1,36.75,2.0,3.6041382256588457
1,3,1.0,27.0,0,0,7.7958,2.0,2.0535851271346086
0,3,0.0,9.0,2,2,34.375,2.0,3.5373295559867355
0,2,1.0,36.5,0,2,26.0,2.0,3.258096538021482
0,2,1.0,42.0,0,0,13.0,2.0,2.5649493574615367
0,2,1.0,51.0,0,0,12.525,2.0,2.5277266469709283
1,1,0.0,22.0,1,0,66.6,2.0,4.198704577546343
0,3,1.0,55.5,0,0,8.05,2.0,2.0856720914304723
0,3,1.0,40.5,0,2,14.5,2.0,2.6741486494265287
0,1,1.0,51.0,0,1,61.3792,0.0,4.117071015545232
1,3,0.0,16.0,0,0,7.7333,1.0,2.0455356796500372
0,3,1.0,30.0,0,0,8.05,2.0,2.0856720914304723
0,3,1.0,44.0,0,1,16.1,2.0,2.7788192719904172
1,2,0.0,40.0,0,0,15.75,2.0,2.7568403652716422
0,3,1.0,26.0,0,0,7.775,2.0,2.0509134580652977
0,3,1.0,17.0,0,0,8.6625,2.0,2.1590033645160216
0,3,1.0,1.0,4,1,39.6875,2.0,3.6810362766529106
1,3,1.0,9.0,0,2,20.525,2.0,3.021643655338492
0,3,0.0,45.0,1,4,27.9,2.0,3.32862668882732
0,3,1.0,28.0,0,0,56.4958,2.0,4.034166299106131
0,1,1.0,61.0,0,0,33.5,2.0,3.5115454388310208
0,3,1.0,4.0,4,1,29.125,1.0,3.371596911885865
1,3,0.0,1.0,1,1,11.1333,2.0,2.409940617298087
0,3,1.0,21.0,0,0,7.925,2.0,2.0700223197633445
0,1,1.0,56.0,0,0,30.6958,0.0,3.424125837416519
0,3,1.0,18.0,1,1,7.8542,2.0,2.061048420562944
0,1,0.0,50.0,0,0,28.7125,0.0,3.3573325680152166
0,2,1.0,30.0,0,0,13.0,2.0,2.5649493574615367
0,3,1.0,9.0,4,2,31.3875,2.0,3.4464097244837033
1,2,1.0,1.0,2,1,39.0,2.0,3.6635616461296463
1,3,0.0,4.0,0,2,22.025,2.0,3.092178171822243
1,1,1.0,45.0,0,0,26.55,2.0,3.279029747687948
0,3,1.0,40.0,1,1,15.5,1.0,2.740840023925201
0,3,1.0,36.0,0,0,7.8958,2.0,2.0663309725297405
1,2,0.0,32.0,0,0,13.0,2.0,2.5649493574615367
0,2,1.0,19.0,0,0,13.0,2.0,2.5649493574615367
1,3,0.0,19.0,1,0,7.8542,2.0,2.061048420562944
1,2,1.0,3.0,1,1,26.0,2.0,3.258096538021482
1,1,0.0,44.0,0,0,27.7208,0.0,3.32218303393412
1,1,0.0,58.0,0,0,146.5208,0.0,4.9871673979011675
0,3,1.0,42.0,0,1,8.4042,2.0,2.128731580890919
0,2,0.0,24.0,0,0,13.0,2.0,2.5649493574615367
0,3,1.0,28.0,0,0,9.5,2.0,2.2512917986064953
0,3,1.0,34.0,0,0,6.4958,2.0,1.8711558142080713
0,3,1.0,45.5,0,0,7.225,0.0,1.9775472339984959
1,3,1.0,18.0,0,0,8.05,2.0,2.0856720914304723
0,3,0.0,2.0,0,1,10.4625,2.0,2.3477974358155937
0,3,1.0,32.0,1,0,15.85,2.0,2.7631695003232895
1,3,1.0,26.0,0,0,18.7875,0.0,2.933191755079093
1,3,0.0,16.0,0,0,7.75,1.0,2.0476928433652555
1,1,1.0,40.0,0,0,31.0,0.0,3.4339872044851463
0,3,1.0,24.0,0,0,7.05,2.0,1.9530276168241774
1,2,0.0,35.0,0,0,21.0,2.0,3.044522437723423
0,3,1.0,22.0,0,0,7.25,2.0,1.9810014688665833
0,2,1.0,30.0,0,0,13.0,2.0,2.5649493574615367
1,1,0.0,31.0,1,0,113.275,0.0,4.729818490553202
1,3,0.0,27.0,0,0,7.925,2.0,2.0700223197633445
0,2,1.0,42.0,1,0,27.0,2.0,3.295836866004329
1,1,0.0,32.0,0,0,76.2917,0.0,4.334564151246186
0,2,1.0,30.0,0,0,10.5,2.0,2.3513752571634776
1,3,1.0,16.0,0,0,8.05,2.0,2.0856720914304723
0,2,1.0,27.0,0,0,13.0,2.0,2.5649493574615367
0,3,1.0,51.0,0,0,8.05,2.0,2.0856720914304723
1,1,1.0,38.0,1,0,90.0,2.0,4.499809670330265
0,3,1.0,22.0,0,0,9.35,2.0,2.2353763433005955
1,2,1.0,19.0,0,0,10.5,2.0,2.3513752571634776
0,3,1.0,20.5,0,0,7.25,2.0,1.9810014688665833
0,2,1.0,18.0,0,0,13.0,2.0,2.5649493574615367
1,1,0.0,35.0,1,0,83.475,2.0,4.424547185829718
0,3,1.0,29.0,0,0,7.775,2.0,2.0509134580652977
0,2,1.0,59.0,0,0,13.5,2.0,2.6026896854443837
1,3,0.0,5.0,4,2,31.3875,2.0,3.4464097244837033
0,2,1.0,24.0,0,0,10.5,2.0,2.3513752571634776
0,2,1.0,44.0,1,0,26.0,2.0,3.258096538021482
1,2,0.0,8.0,0,2,26.25,2.0,3.2676659890376327
0,2,1.0,19.0,0,0,10.5,2.0,2.3513752571634776
0,2,1.0,33.0,0,0,12.275,2.0,2.507564673680584
0,2,1.0,29.0,0,0,10.5,2.0,2.3513752571634776
0,3,1.0,22.0,0,0,7.125,2.0,1.9636097261547143
0,3,1.0,30.0,0,0,7.225,0.0,1.9775472339984959
0,1,1.0,44.0,2,0,90.0,1.0,4.499809670330265
0,3,0.0,25.0,0,0,7.775,2.0,2.0509134580652977
1,2,0.0,24.0,0,2,14.5,2.0,2.6741486494265287
1,1,1.0,37.0,1,1,52.5542,2.0,3.961845018011234
0,2,1.0,54.0,1,0,26.0,2.0,3.258096538021482
0,3,0.0,29.0,1,1,10.4625,2.0,2.3477974358155937
0,1,1.0,62.0,0,0,26.55,2.0,3.279029747687948
0,3,1.0,30.0,1,0,16.1,2.0,2.7788192719904172
0,3,0.0,41.0,0,2,20.2125,2.0,3.006301224903225
1,3,0.0,29.0,0,2,15.2458,0.0,2.7243040552851014
1,1,0.0,30.0,0,0,86.5,2.0,4.460144413937834
1,2,0.0,50.0,0,1,26.0,2.0,3.258096538021482
1,3,1.0,3.0,4,2,31.3875,2.0,3.4464097244837033
0,1,1.0,52.0,1,1,79.65,2.0,4.3776420363560575
0,2,1.0,36.0,0,0,10.5,2.0,2.3513752571634776
0,3,1.0,16.0,4,1,39.6875,2.0,3.6810362766529106
1,3,1.0,25.0,1,0,7.775,2.0,2.0509134580652977
1,1,0.0,58.0,0,1,153.4625,2.0,5.033456237506958
1,1,0.0,35.0,0,0,135.6333,2.0,4.909954920578875
1,2,0.0,41.0,0,1,19.5,2.0,2.970414465569701
0,1,1.0,37.0,0,1,29.7,0.0,3.391147045808654
1,1,0.0,63.0,1,0,77.9583,2.0,4.356174068347218
0,3,0.0,45.0,0,0,7.75,2.0,2.0476928433652555
0,3,1.0,7.0,4,1,29.125,1.0,3.371596911885865
1,3,0.0,35.0,1,1,20.25,2.0,3.0081547935525483
0,3,1.0,65.0,0,0,7.75,1.0,2.0476928433652555
0,3,1.0,28.0,0,0,7.8542,2.0,2.061048420562944
0,3,1.0,16.0,0,0,9.5,2.0,2.2512917986064953
1,3,1.0,19.0,0,0,8.05,2.0,2.0856720914304723
0,3,1.0,33.0,0,0,8.6625,0.0,2.1590033645160216
1,3,1.0,30.0,0,0,9.5,2.0,2.2512917986064953
0,3,1.0,22.0,0,0,7.8958,2.0,2.0663309725297405
1,2,1.0,42.0,0,0,13.0,2.0,2.5649493574615367
1,3,0.0,22.0,0,0,7.75,1.0,2.0476928433652555
1,1,0.0,26.0,0,0,78.85,2.0,4.367547313409047
1,1,0.0,19.0,1,0,91.0792,0.0,4.51172945766992
0,2,1.0,36.0,0,0,12.875,0.0,2.5552874465497997
0,3,0.0,24.0,0,0,8.85,2.0,2.180417459019838
0,3,1.0,24.0,0,0,7.8958,2.0,2.0663309725297405
0,3,1.0,23.5,0,0,7.2292,0.0,1.9781283799793465
0,1,0.0,2.0,1,2,151.55,2.0,5.020915603503812
1,1,0.0,50.0,0,1,247.5208,0.0,5.5114946188815885
1,1,1.0,0.92,1,2,151.55,2.0,5.020915603503812
1,1,0.0,17.0,1,0,108.9,0.0,4.690430029938915
0,2,1.0,30.0,1,0,24.0,0.0,3.1780538303479458
1,1,0.0,30.0,0,0,56.9292,0.0,4.041808390519271
1,1,0.0,24.0,0,0,83.1583,0.0,4.4207460202604185
1,1,0.0,18.0,2,2,262.375,0.0,5.569774778140797
0,2,0.0,26.0,1,1,26.0,2.0,3.258096538021482
0,3,1.0,28.0,0,0,7.8958,2.0,2.0663309725297405
0,2,1.0,43.0,1,1,26.25,2.0,3.2676659890376327
1,3,0.0,26.0,0,0,7.8542,2.0,2.061048420562944
1,2,0.0,24.0,1,0,26.0,2.0,3.258096538021482
0,2,1.0,54.0,0,0,14.0,2.0,2.6390573296152584
1,1,0.0,31.0,0,2,164.8667,2.0,5.1051372686027685
1,1,0.0,40.0,1,1,134.5,0.0,4.901564199041894
0,3,1.0,22.0,0,0,7.25,2.0,1.9810014688665833
0,3,1.0,27.0,0,0,7.8958,2.0,2.0663309725297405
1,2,0.0,30.0,0,0,12.35,1.0,2.513656063073986
1,2,0.0,22.0,1,1,29.0,2.0,3.367295829986474
1,1,0.0,36.0,0,0,135.6333,0.0,4.909954920578875
0,3,1.0,61.0,0,0,6.2375,2.0,1.830579461077637
1,2,0.0,36.0,0,0,13.0,2.0,2.5649493574615367
1,3,0.0,31.0,1,1,20.525,2.0,3.021643655338492
1,1,0.0,16.0,0,1,57.9792,0.0,4.0600843255369865
0,1,1.0,45.5,0,0,28.5,2.0,3.349904087274605
0,1,1.0,38.0,0,1,153.4625,2.0,5.033456237506958
0,3,1.0,16.0,2,0,18.0,2.0,2.8903717578961645
0,1,1.0,29.0,1,0,66.6,2.0,4.198704577546343
1,1,0.0,41.0,0,0,134.5,0.0,4.901564199041894
1,3,1.0,45.0,0,0,8.05,2.0,2.0856720914304723
0,1,1.0,45.0,0,0,35.5,2.0,3.56953269648137
1,2,1.0,2.0,1,1,26.0,2.0,3.258096538021482
1,1,0.0,24.0,3,2,263.0,2.0,5.572154032177765
0,2,1.0,28.0,0,0,13.0,2.0,2.5649493574615367
0,2,1.0,25.0,0,0,13.0,2.0,2.5649493574615367
0,2,1.0,36.0,0,0,13.0,2.0,2.5649493574615367
1,2,0.0,24.0,0,0,13.0,2.0,2.5649493574615367
1,2,0.0,40.0,0,0,13.0,2.0,2.5649493574615367
1,3,1.0,3.0,1,1,15.9,2.0,2.766319109226186
0,3,1.0,42.0,0,0,8.6625,2.0,2.1590033645160216
0,3,1.0,23.0,0,0,9.225,2.0,2.221917189926591
0,3,1.0,15.0,1,1,7.2292,0.0,1.9781283799793465
0,3,1.0,25.0,1,0,17.8,2.0,2.8791984572980396
0,3,1.0,28.0,0,0,9.5,2.0,2.2512917986064953
1,1,0.0,22.0,0,1,55.0,2.0,4.007333185232471
0,2,0.0,38.0,0,0,13.0,2.0,2.5649493574615367
0,3,1.0,40.0,1,4,27.9,2.0,3.32862668882732
0,2,1.0,29.0,1,0,27.7208,0.0,3.32218303393412
0,3,0.0,45.0,0,1,14.4542,0.0,2.6709850297651974
0,3,1.0,35.0,0,0,7.05,2.0,1.9530276168241774
0,3,1.0,30.0,0,0,7.25,2.0,1.9810014688665833
1,1,0.0,60.0,1,0,75.25,0.0,4.3208159036289855
1,1,0.0,24.0,0,0,69.3,0.0,4.238444906195857
1,1,1.0,25.0,1,0,55.4417,0.0,4.015332018192187
0,3,1.0,18.0,1,0,6.4958,2.0,1.8711558142080713
0,3,1.0,19.0,0,0,8.05,2.0,2.0856720914304723
0,1,1.0,22.0,0,0,135.6333,0.0,4.909954920578875
0,3,0.0,3.0,3,1,21.075,2.0,3.048087503887919
1,3,0.0,22.0,0,0,7.25,2.0,1.9810014688665833
0,1,1.0,27.0,0,2,211.5,0.0,5.354224998486333
0,3,1.0,20.0,0,0,4.0125,0.0,1.3894144884561344
0,3,1.0,19.0,0,0,7.775,2.0,2.0509134580652977
1,1,0.0,42.0,0,0,227.525,0.0,5.427260122463419
1,3,0.0,1.0,0,2,15.7417,0.0,2.7563132422397203
0,3,1.0,32.0,0,0,7.925,2.0,2.0700223197633445
1,1,0.0,35.0,1,0,52.0,2.0,3.9512437185814275
0,2,1.0,18.0,0,0,73.5,2.0,4.297285406218791
0,3,1.0,1.0,5,2,46.9,2.0,3.8480176754522337
1,2,0.0,36.0,0,0,13.0,2.0,2.5649493574615367
1,2,0.0,17.0,0,0,12.0,0.0,2.4849066497880004
1,1,1.0,36.0,1,2,120.0,2.0,4.787491742782046
1,3,1.0,21.0,0,0,7.7958,2.0,2.0535851271346086
0,3,1.0,28.0,2,0,7.925,2.0,2.0700223197633445
1,1,0.0,23.0,1,0,113.275,0.0,4.729818490553202
1,3,0.0,24.0,0,2,16.7,2.0,2.8154087194227095
0,3,1.0,22.0,0,0,7.7958,2.0,2.0535851271346086
0,3,0.0,31.0,0,0,7.8542,2.0,2.061048420562944
0,2,1.0,46.0,0,0,26.0,2.0,3.258096538021482
0,2,1.0,23.0,0,0,10.5,2.0,2.3513752571634776
1,2,0.0,28.0,0,0,12.65,2.0,2.5376572151735295
1,3,1.0,39.0,0,0,7.925,2.0,2.0700223197633445
0,3,1.0,26.0,0,0,8.05,2.0,2.0856720914304723
0,3,0.0,21.0,1,0,9.825,2.0,2.284930157755325
0,3,1.0,28.0,1,0,15.85,2.0,2.7631695003232895
0,3,0.0,20.0,0,0,8.6625,2.0,2.1590033645160216
0,2,1.0,34.0,1,0,21.0,2.0,3.044522437723423
0,3,1.0,51.0,0,0,7.75,2.0,2.0476928433652555
1,2,1.0,3.0,1,1,18.75,2.0,2.9311937524164198
0,3,1.0,21.0,0,0,7.775,2.0,2.0509134580652977
1,1,0.0,33.0,1,0,90.0,1.0,4.499809670330265
1,3,1.0,44.0,0,0,7.925,2.0,2.0700223197633445
1,2,0.0,34.0,1,1,32.5,2.0,3.481240089335692
1,2,0.0,18.0,0,2,13.0,2.0,2.5649493574615367
0,2,1.0,30.0,0,0,13.0,2.0,2.5649493574615367
0,3,0.0,10.0,0,2,24.15,2.0,3.184284380098582
0,3,1.0,21.0,0,0,7.7333,1.0,2.0455356796500372
0,3,1.0,29.0,0,0,7.875,2.0,2.063693184711697
0,3,0.0,28.0,1,1,14.4,2.0,2.667228206581955
0,3,1.0,18.0,1,1,20.2125,2.0,3.006301224903225
1,2,0.0,28.0,1,0,26.0,2.0,3.258096538021482
1,2,0.0,19.0,0,0,26.0,2.0,3.258096538021482
1,3,1.0,32.0,0,0,8.05,2.0,2.0856720914304723
1,1,1.0,28.0,0,0,26.55,2.0,3.279029747687948
1,2,0.0,42.0,1,0,26.0,2.0,3.258096538021482
0,3,1.0,17.0,0,0,7.125,2.0,1.9636097261547143
0,1,1.0,50.0,1,0,55.9,2.0,4.023564380161053
1,1,0.0,14.0,1,2,120.0,2.0,4.787491742782046
0,3,0.0,21.0,2,2,34.375,2.0,3.5373295559867355
1,2,0.0,24.0,2,3,18.75,2.0,2.9311937524164198
0,1,1.0,64.0,1,4,263.0,2.0,5.572154032177765
0,2,1.0,31.0,0,0,10.5,2.0,2.3513752571634776
1,2,0.0,45.0,1,1,26.25,2.0,3.2676659890376327
0,3,1.0,20.0,0,0,9.5,2.0,2.2512917986064953
0,3,1.0,25.0,1,0,7.775,2.0,2.0509134580652977
